feature_id,rank,transformation,count,pattern_type
18,0,18→15,3,changes
18,0,18→13,3,changes
18,0,18→10,2,changes
18,0,18→20,2,changes
18,0,18→19,2,changes
18,0,18→21,1,changes
18,0,18→17,1,changes
18,0,18→9,1,changes
19,0,19→16,7,changes
19,0,19→18,6,changes
19,0,19→14,4,changes
19,0,19→15,2,changes
19,0,19→13,2,changes
19,0,19→12,1,changes
19,0,19→17,1,changes
19,0,19→11,1,changes
19,0,19→23,1,changes
2,0,2→3,4,changes
2,0,2→1,2,changes
2,0,2→9,1,changes
2,0,2→5,1,changes
2,0,2→4,1,changes
2.00,0,2.00→1.75,13,changes
2.00,0,2.00→1.88,12,changes
2.00,0,2.00→1.85,11,changes
2.00,0,2.00→1.80,11,changes
2.00,0,2.00→1.82,10,changes
2.00,0,2.00→1.92,10,changes
2.00,0,2.00→1.83,9,changes
2.00,0,2.00→1.71,8,changes
2.00,0,2.00→1.89,7,changes
2.00,0,2.00→1.91,7,changes
2.00,0,2.00→1.73,6,changes
2.00,0,2.00→1.90,6,changes
2.00,0,2.00→1.86,5,changes
2.00,0,2.00→1.78,5,changes
2.00,0,2.00→1.67,4,changes
2.00,0,2.00→1.69,4,changes
2.00,0,2.00→2.09,4,changes
2.00,0,2.00→1.25,3,changes
2.00,0,2.00→1.93,3,changes
2.00,0,2.00→1.33,2,changes
2.00,0,2.00→1.70,2,changes
2.00,0,2.00→1.81,2,changes
2.00,0,2.00→1.79,2,changes
2.00,0,2.00→2.12,2,changes
2.00,0,2.00→1.38,1,changes
2.00,0,2.00→2.18,1,changes
2.00,0,2.00→2.23,1,changes
2.00,0,2.00→1.57,1,changes
2.00,0,2.00→1.60,1,changes
2.00,0,2.00→1.29,1,changes
2.00,0,2.00→1.50,1,changes
2.00,0,2.00→2.15,1,changes
2.00,0,2.00→2.11,1,changes
2.00,0,2.00→2.25,1,changes
2.00,0,2.00→2.06,1,changes
2.00,0,2.00→1.77,1,changes
2.00,0,2.00→1.76,1,changes
2.00,0,2.00→2.14,1,changes
2.00,0,2.00→2.50,1,changes
2.05,0,2.05→1.89,1,changes
2.05,0,2.05→2.06,1,changes
2.06,0,2.06→1.88,3,changes
2.06,0,2.06→1.93,2,changes
2.06,0,2.06→2.00,2,changes
2.06,0,2.06→1.73,1,changes
2.06,0,2.06→1.72,1,changes
2.06,0,2.06→2.50,1,changes
2.06,0,2.06→1.79,1,changes
2.06,0,2.06→2.20,1,changes
2.06,0,2.06→1.95,1,changes
2.06,0,2.06→1.91,1,changes
2.06,0,2.06→1.94,1,changes
2.06,0,2.06→1.71,1,changes
2.06,0,2.06→1.87,1,changes
2.06,0,2.06→2.25,1,changes
2.06,0,2.06→1.81,1,changes
2.06,0,2.06→1.75,1,changes
2.07,0,2.07→2.00,6,changes
2.07,0,2.07→1.85,5,changes
2.07,0,2.07→1.92,5,changes
2.07,0,2.07→1.86,4,changes
2.07,0,2.07→1.83,4,changes
2.07,0,2.07→1.75,2,changes
2.07,0,2.07→1.80,2,changes
2.07,0,2.07→1.73,1,changes
2.07,0,2.07→2.09,1,changes
2.07,0,2.07→1.93,1,changes
2.07,0,2.07→1.88,1,changes
2.07,0,2.07→1.77,1,changes
2.07,0,2.07→2.18,1,changes
2.07,0,2.07→1.79,1,changes
2.07,0,2.07→1.91,1,changes
2.07,0,2.07→1.62,1,changes
2.07,0,2.07→1.67,1,changes
2.08,0,2.08→2.00,8,changes
2.08,0,2.08→1.91,7,changes
2.08,0,2.08→1.92,6,changes
2.08,0,2.08→2.10,3,changes
2.08,0,2.08→1.90,2,changes
2.08,0,2.08→1.69,2,changes
2.08,0,2.08→1.67,1,changes
2.08,0,2.08→1.50,1,changes
2.08,0,2.08→1.83,1,changes
2.08,0,2.08→2.09,1,changes
2.08,0,2.08→1.87,1,changes
2.08,0,2.08→1.64,1,changes
2.08,0,2.08→2.22,1,changes
2.08,0,2.08→2.25,1,changes
2.08,0,2.08→2.12,1,changes
2.08,0,2.08→1.82,1,changes
2.08,0,2.08→1.79,1,changes
2.08,0,2.08→1.75,1,changes
2.08,0,2.08→2.11,1,changes
2.08,0,2.08→1.80,1,changes
2.09,0,2.09→1.91,4,changes
2.09,0,2.09→1.78,4,changes
2.09,0,2.09→1.82,3,changes
2.09,0,2.09→2.00,2,changes
2.09,0,2.09→1.88,2,changes
2.09,0,2.09→1.73,2,changes
2.09,0,2.09→1.67,1,changes
2.09,0,2.09→1.50,1,changes
2.09,0,2.09→1.56,1,changes
2.09,0,2.09→2.11,1,changes
2.09,0,2.09→1.90,1,changes
2.09,0,2.09→1.86,1,changes
2.09,0,2.09→1.70,1,changes
2.09,0,2.09→1.80,1,changes
2.10,0,2.10→1.90,6,changes
2.10,0,2.10→1.89,3,changes
2.10,0,2.10→2.00,3,changes
2.10,0,2.10→1.62,2,changes
2.10,0,2.10→2.12,2,changes
2.10,0,2.10→1.88,2,changes
2.10,0,2.10→1.50,1,changes
2.10,0,2.10→2.38,1,changes
2.10,0,2.10→2.14,1,changes
2.10,0,2.10→1.78,1,changes
2.10,0,2.10→1.70,1,changes
2.11,0,2.11→2.00,4,changes
2.11,0,2.11→1.78,4,changes
2.11,0,2.11→1.50,2,changes
2.11,0,2.11→2.14,2,changes
2.11,0,2.11→1.89,2,changes
2.11,0,2.11→1.80,2,changes
2.11,0,2.11→2.29,1,changes
2.11,0,2.11→1.43,1,changes
2.11,0,2.11→1.40,1,changes
2.11,0,2.11→1.33,1,changes
2.11,0,2.11→1.86,1,changes
2.11,0,2.11→1.88,1,changes
2.11,0,2.11→1.94,1,changes
2.11,0,2.11→2.12,1,changes
2.11,0,2.11→1.93,1,changes
2.11,0,2.11→1.87,1,changes
2.11,0,2.11→2.07,1,changes
2.11,0,2.11→1.73,1,changes
2.11,0,2.11→1.75,1,changes
2.11,0,2.11→1.83,1,changes
2.12,0,2.12→2.00,6,changes
2.12,0,2.12→1.86,3,changes
2.12,0,2.12→1.93,2,changes
2.12,0,2.12→2.08,2,changes
2.12,0,2.12→1.83,2,changes
2.12,0,2.12→2.20,1,changes
2.12,0,2.12→1.60,1,changes
2.12,0,2.12→1.80,1,changes
2.12,0,2.12→1.75,1,changes
2.12,0,2.12→1.94,1,changes
2.12,0,2.12→2.07,1,changes
2.12,0,2.12→2.11,1,changes
2.12,0,2.12→1.71,1,changes
2.12,0,2.12→2.23,1,changes
2.13,0,2.13→1.93,3,changes
