pair_unit,frequency
CONST-COUNT-DIFF:27→22,13
DEP-DIST-DIFF:2.54→1.89,2
BRANCH-DIFF:2.00→1.75,13
C-DEL:NOUN-DEL→ABSENT,340
C-ADD:ABSENT→NOUN-ADD,379
DEP-REL-CHG:nsubj→nsubj:outer,1
DEP-REL-CHG:root→cop,8
DEP-REL-CHG:punct→advmod,17
DEP-REL-CHG:punct→fixed,2
DEP-REL-CHG:fixed→case,1
DEP-REL-CHG:ccomp→nsubj,12
DEP-REL-CHG:punct→ccomp,6
DEP-REL-CHG:punct→compound,84
DEP-REL-CHG:det→obj,73
LENGTH-CHG:20→13,8
DEP-DIST-DIFF:4.05→2.42,1
BRANCH-DIFF:2.19→1.80,3
DEP-REL-CHG:compound→advcl,5
DEP-REL-CHG:nsubj→case,71
DEP-REL-CHG:case→obl:agent,2
DEP-REL-CHG:nmod→flat,8
DEP-REL-CHG:root→cc,7
DEP-REL-CHG:mark→conj,2
DEP-REL-CHG:nsubj:pass→root,63
DEP-REL-CHG:advmod→obj,15
DEP-REL-CHG:ccomp→case,23
DEP-REL-CHG:case→nmod,135
TED-RTED:41→41,2
CONST-COUNT-DIFF:35→25,4
DEP-DIST-DIFF:2.88→1.91,1
BRANCH-DIFF:2.00→1.85,11
C-DEL:ADJ-DEL→ABSENT,106
DEP-REL-CHG:compound→root,56
DEP-REL-CHG:nsubj→flat,21
DEP-REL-CHG:obj→advcl,20
DEP-REL-CHG:flat→obj,7
DEP-REL-CHG:mark→case,38
DEP-REL-CHG:det→obl,78
LENGTH-CHG:16→11,27
TREE-DEPTH-DIFF:9→9,57
CONST-COUNT-DIFF:28→22,15
DEP-DIST-DIFF:2.33→1.70,1
BRANCH-DIFF:2.25→1.91,2
DEP-REL-CHG:nsubj→aux,34
DEP-REL-CHG:root→ccomp,5
DEP-REL-CHG:mark→amod,17
DEP-REL-CHG:nsubj→obj,41
DEP-REL-CHG:aux→case,65
DEP-REL-CHG:ccomp→obl,8
DEP-REL-CHG:obj→aux,2
DEP-REL-CHG:case→advmod,10
DEP-REL-CHG:obl→parataxis,11
DEP-REL-CHG:punct→mark,10
DEP-REL-CHG:nsubj→xcomp,6
DEP-REL-CHG:advmod→obl,8
DEP-REL-CHG:parataxis→root,2
DEP-REL-CHG:mark→nsubj,28
LENGTH-CHG:20→16,7
TED-RTED:24→24,21
PUNCT-DEL:semicolon→,6
TREE-DEPTH-DIFF:11→14,2
CONST-COUNT-DIFF:42→35,1
DEP-DIST-DIFF:3.47→2.87,1
BRANCH-DIFF:1.86→1.79,1
POS-CHG:VERB→NOUN,41
DEP-REL-CHG:det→nsubj,136
DEP-REL-CHG:root→case,143
DEP-REL-CHG:obl→case,58
DEP-REL-CHG:det→case,115
DEP-REL-CHG:nmod→obl,11
DEP-REL-CHG:advcl→nmod,3
DEP-REL-CHG:nmod:poss→compound,23
DEP-REL-CHG:obl→nmod,35
LENGTH-CHG:17→13,29
TED-ZHANG-SHASHA:20→20,28
TED-KLEIN:12→12,75
TED-RTED:16→16,50
TREE-DEPTH-DIFF:9→8,60
CONST-COUNT-DIFF:33→29,6
DEP-DIST-DIFF:3.00→1.92,1
FORM-CHG:Passengers→passengers,2
FORM-CHG:fell→fall,1
DEP-REL-CHG:amod→compound,64
DEP-REL-CHG:amod→obl,33
HEAD-CHG:11→10,8
FEAT-CHG:Tense=Past→Tense=Pres,46
LENGTH-CHG:12→10,22
TED-SIMPLE:9→9,4
TED-ZHANG-SHASHA:8→8,52
TED-RTED:8→8,61
TREE-DEPTH-DIFF:7→7,64
CONST-COUNT-DIFF:22→20,8
DEP-DIST-DIFF:3.09→2.22,1
BRANCH-DIFF:2.10→1.90,6
DEP-REL-CHG:amod→punct,27
DEP-REL-CHG:root→advmod,27
DEP-REL-CHG:advmod→nummod,1
DEP-REL-CHG:nummod→obl:unmarked,9
DEP-REL-CHG:obl:unmarked→case,5
DEP-REL-CHG:compound→nummod,16
DEP-REL-CHG:nummod→nmod:unmarked,1
LENGTH-CHG:15→13,18
TED-ZHANG-SHASHA:7→7,35
TED-KLEIN:7→7,15
TED-RTED:7→7,33
PUNCT-DEL:apostrophe→,21
DEP-DIST-DIFF:2.50→1.92,1
BRANCH-DIFF:2.27→2.20,2
FORM-CHG:suggested→suggests,1
