feature_id,canonical_value,headline_value,transformation,count
DEP-REL-CHG,obj,xcomp,obj→xcomp,15
DEP-REL-CHG,flat,aux,flat→aux,14
DEP-REL-CHG,conj,appos,conj→appos,14
DEP-REL-CHG,det,aux,det→aux,14
DEP-REL-CHG,conj,flat,conj→flat,14
DEP-REL-CHG,ccomp,nmod,ccomp→nmod,14
DEP-REL-CHG,aux:pass,compound,aux:pass→compound,14
DEP-REL-CHG,root,aux,root→aux,14
DEP-REL-CHG,amod,appos,amod→appos,14
DEP-REL-CHG,xcomp,punct,xcomp→punct,14
DEP-REL-CHG,cc,case,cc→case,14
DEP-REL-CHG,nmod,compound,nmod→compound,14
DEP-REL-CHG,ccomp,parataxis,ccomp→parataxis,14
DEP-REL-CHG,nmod,root,nmod→root,14
DEP-REL-CHG,acl,case,acl→case,14
DEP-REL-CHG,xcomp,obl,xcomp→obl,14
DEP-REL-CHG,det,advmod,det→advmod,14
DEP-REL-CHG,advmod,obj,advmod→obj,14
DEP-REL-CHG,mark,appos,mark→appos,14
DEP-REL-CHG,mark,flat,mark→flat,13
DEP-REL-CHG,case,det,case→det,13
DEP-REL-CHG,punct,nummod,punct→nummod,13
DEP-REL-CHG,det,parataxis,det→parataxis,13
DEP-REL-CHG,nummod,root,nummod→root,13
DEP-REL-CHG,mark,nummod,mark→nummod,13
DEP-REL-CHG,nummod,amod,nummod→amod,13
DEP-REL-CHG,aux:pass,mark,aux:pass→mark,13
DEP-REL-CHG,compound,nmod:poss,compound→nmod:poss,13
DEP-REL-CHG,aux,nmod,aux→nmod,13
DEP-REL-CHG,nsubj,appos,nsubj→appos,13
DEP-REL-CHG,case,parataxis,case→parataxis,13
DEP-REL-CHG,punct,conj,punct→conj,12
DEP-REL-CHG,aux,parataxis,aux→parataxis,12
DEP-REL-CHG,acl,compound,acl→compound,12
DEP-REL-CHG,nummod,nmod,nummod→nmod,12
DEP-REL-CHG,compound,xcomp,compound→xcomp,12
DEP-REL-CHG,amod,nummod,amod→nummod,12
DEP-REL-CHG,aux,det,aux→det,12
DEP-REL-CHG,nmod,appos,nmod→appos,12
DEP-REL-CHG,obl,mark,obl→mark,12
DEP-REL-CHG,advcl,amod,advcl→amod,12
DEP-REL-CHG,conj,obj,conj→obj,12
DEP-REL-CHG,flat,obj,flat→obj,12
DEP-REL-CHG,nmod:poss,nmod,nmod:poss→nmod,12
DEP-REL-CHG,obl,advcl,obl→advcl,12
DEP-REL-CHG,aux,aux:pass,aux→aux:pass,11
DEP-REL-CHG,appos,flat,appos→flat,11
DEP-REL-CHG,nummod,nsubj,nummod→nsubj,11
DEP-REL-CHG,conj,compound,conj→compound,11
DEP-REL-CHG,cc,conj,cc→conj,11
DEP-REL-CHG,punct,det,punct→det,11
DEP-REL-CHG,obj,nmod:poss,obj→nmod:poss,11
DEP-REL-CHG,nsubj,acl,nsubj→acl,11
DEP-REL-CHG,advmod,compound,advmod→compound,11
DEP-REL-CHG,compound,det,compound→det,11
DEP-REL-CHG,aux,appos,aux→appos,11
DEP-REL-CHG,nsubj,ccomp,nsubj→ccomp,11
DEP-REL-CHG,nsubj,advcl,nsubj→advcl,11
DEP-REL-CHG,det,advcl,det→advcl,11
