rule_count,rule_type,coverage_pct,coverage_events,accuracy_pct,f1_score,efficiency,weighted_f1
27,lexical,77.77027027027027,31077,87.5858465148931,82.38673098695817,2.8803803803803807,24.724392136011595
28,syntactic,78.18568568568568,31243,87.6518052729678,82.64857912694546,2.792345917345917,24.54449602881415
29,lexical,78.58858858858859,31404,87.71511120059016,82.90142427239046,2.709951330640986,24.37418796079302
30,syntactic,78.95145145145145,31549,87.77157285946728,83.12820742153413,2.631715048381715,24.20748898334857
31,lexical,79.3018018018018,31689,87.82559727802497,83.34633515286342,2.5581226387678,24.048668880261104
32,syntactic,79.6096096096096,31812,87.87266918594659,83.53730244842109,2.4878003003003,23.891640724318776
33,syntactic,79.90990990990991,31932,87.91824352196333,83.72300803666411,2.4215124215124217,23.742044369038876
34,lexical,80.2027027027027,32049,87.96234990618532,83.90349943831342,2.3589030206677264,23.599236414328555
35,lexical,80.49549549549549,32166,88.00613542695184,84.08342921139577,2.2998712998713,23.463927679874768
36,lexical,80.78828828828829,32283,88.0496035728815,84.26279999947594,2.244119119119119,23.335562324586736
37,lexical,81.08108108108108,32400,88.09275778220164,84.44161442913217,2.191380569758948,23.21363968337832
38,syntactic,81.37387387387388,32517,88.1356014436551,84.61987511010078,2.1414177335229967,23.09770744529359
39,syntactic,81.64414414414415,32625,88.17487669404854,84.78393418085206,2.0934395934395935,22.983655398741416
40,lexical,81.8893893893894,32723,88.2102909923703,84.93239788591815,2.047234734734735,22.87080911864282
41,lexical,82.13463463463464,32821,88.24549380406853,85.08047808354206,2.0032837715764544,22.762974466057198
42,lexical,82.36236236236236,32912,88.27799441368902,85.21763903793335,1.9610086276752943,22.657034036121548
43,lexical,82.58008008008008,32999,88.30889881945917,85.34846405257899,1.9204669786065134,22.55396063864978
44,lexical,82.7977977977978,33086,88.33964069828124,85.47899013030955,1.8817681317681318,22.455100855412862
45,lexical,83.00550550550551,33169,88.36881884118705,85.60323732040709,1.8445667890112336,22.35864591520798
46,lexical,83.1931931931932,33244,88.3950593232864,85.7152764219644,1.8085476781128955,22.2628546458566
47,lexical,83.37087087087087,33315,88.41979144959727,85.82113737500164,1.773848316401508,22.1691245515754
48,lexical,83.54604604604604,33385,88.44407225230891,85.92531484946248,1.7405426259592927,22.07843843436885
49,lexical,83.7062062062062,33449,88.46618290960367,86.02039603372448,1.7082899225756367,21.98872448203052
50,lexical,83.86386386386387,33512,88.48786560465902,86.11383636888092,1.6772772772772775,21.901743468011688
51,lexical,84.01651651651652,33573,88.50878241870947,86.20416397864254,1.6473826767944415,21.816969571695136
52,lexical,84.16166166166165,33631,88.52860016482809,86.2899160108852,1.6184934934934934,21.73389712639133
53,lexical,84.3068068068068,33689,88.54834967328603,86.37553846797792,1.5906944680529587,21.653518153920285
54,lexical,84.43943943943944,33742,88.56633726937743,86.45366662891827,1.5636933229525822,21.57386536949584
55,lexical,84.56956956956957,33794,88.58393064281628,86.53021597662976,1.5376285376285375,21.496312030521427
56,lexical,84.68718718718719,33841,88.59978582616746,86.59931576538169,1.5122711997712,21.419296968688727
57,lexical,84.80230230230231,33887,88.61526107779778,86.6668636330198,1.4877596895140757,21.34418914584321
58,lexical,84.91491491491492,33932,88.63035931107312,86.7328649926568,1.4640502571537055,21.270893568932784
59,lexical,85.02502502502503,33976,88.64508335717369,86.79732512404736,1.441102119068221,21.199321113546034
60,lexical,85.13013013013013,34018,88.65910259695848,86.85878662174669,1.4188355021688355,21.129032291340767
61,lexical,85.23523523523524,34060,88.67308726198864,86.9201811998479,1.397298938282545,21.06066173052377
62,lexical,85.34034034034033,34102,88.68703748001094,86.98150896847635,1.3764571022635537,20.994129979507807
63,lexical,85.44294294294295,34143,88.70062244510831,87.04131221492644,1.356237189570523,20.929011580823722
64,lexical,85.54554554554554,34184,88.71417482282159,87.10105200213326,1.336649149149149,20.865589695110117
65,lexical,85.64564564564564,34224,88.72736536183184,87.15927366219898,1.3176253176253176,20.803450171658383
66,lexical,85.74574574574575,34264,88.74052510341272,87.21743511200604,1.2991779658446325,20.742880159605857
67,lexical,85.84334334334335,34303,88.75332630216988,87.2740846442227,1.281243930497662,20.683475595307673
68,lexical,85.94094094094095,34342,88.76609842593132,87.3306771155467,1.2638373667785434,20.62552678368525
69,lexical,86.03853853853853,34381,88.77884157364048,87.38721261283023,1.2469353411382396,20.568979752623424
70,lexical,86.13613613613613,34420,88.79155584379237,87.44369122274585,1.2305162305162305,20.513783287765833
71,lexical,86.23373373373373,34459,88.80424133443609,87.50011303178705,1.2145596300525878,20.45988875370015
72,lexical,86.32882882882883,34497,88.81657396710824,87.55503357519319,1.1990115115115116,20.406913239985805
73,lexical,86.42392392392392,34535,88.8288794597751,87.609900354873,1.1838893688208756,20.355152270629723
74,lexical,86.51651651651652,34572,88.84083513083806,87.66327168757998,1.169142115088061,20.30423000186975
75,lexical,86.6066066066066,34608,88.85244313867699,87.71515177038202,1.1547547547547548,20.254110534679707
