feature_id,canonical_value,headline_value,transformation,count
BRANCH-DIFF,2.18,1.90,2.18→1.90,3
BRANCH-DIFF,2.14,2.09,2.14→2.09,3
BRANCH-DIFF,2.00,2.10,2.00→2.10,3
BRANCH-DIFF,1.93,1.73,1.93→1.73,3
BRANCH-DIFF,2.20,1.92,2.20→1.92,2
BRANCH-DIFF,1.85,1.73,1.85→1.73,2
BRANCH-DIFF,2.50,2.25,2.50→2.25,2
BRANCH-DIFF,2.43,2.08,2.43→2.08,2
BRANCH-DIFF,2.14,1.77,2.14→1.77,2
BRANCH-DIFF,1.93,2.00,1.93→2.00,2
BRANCH-DIFF,1.89,1.75,1.89→1.75,2
BRANCH-DIFF,2.20,2.09,2.20→2.09,2
BRANCH-DIFF,2.17,1.91,2.17→1.91,2
BRANCH-DIFF,1.88,1.85,1.88→1.85,2
BRANCH-DIFF,1.87,1.77,1.87→1.77,2
BRANCH-DIFF,2.36,2.22,2.36→2.22,2
BRANCH-DIFF,2.25,2.08,2.25→2.08,2
BRANCH-DIFF,2.20,2.12,2.20→2.12,2
BRANCH-DIFF,2.18,2.25,2.18→2.25,2
BRANCH-DIFF,2.08,1.85,2.08→1.85,2
BRANCH-DIFF,2.25,2.14,2.25→2.14,2
BRANCH-DIFF,2.05,1.88,2.05→1.88,2
BRANCH-DIFF,2.00,2.08,2.00→2.08,2
BRANCH-DIFF,2.31,2.08,2.31→2.08,2
BRANCH-DIFF,2.18,1.91,2.18→1.91,2
BRANCH-DIFF,2.50,2.00,2.50→2.00,2
BRANCH-DIFF,2.13,1.92,2.13→1.92,2
BRANCH-DIFF,2.18,1.88,2.18→1.88,2
BRANCH-DIFF,2.27,1.91,2.27→1.91,2
BRANCH-DIFF,2.44,2.00,2.44→2.00,2
BRANCH-DIFF,2.00,2.07,2.00→2.07,2
BRANCH-DIFF,2.36,2.08,2.36→2.08,2
BRANCH-DIFF,2.18,1.89,2.18→1.89,2
BRANCH-DIFF,2.15,2.09,2.15→2.09,2
BRANCH-DIFF,2.33,2.17,2.33→2.17,2
BRANCH-DIFF,2.17,1.92,2.17→1.92,2
BRANCH-DIFF,2.15,2.10,2.15→2.10,2
BRANCH-DIFF,1.91,1.70,1.91→1.70,2
BRANCH-DIFF,2.17,1.90,2.17→1.90,2
BRANCH-DIFF,1.93,1.64,1.93→1.64,2
BRANCH-DIFF,1.92,1.80,1.92→1.80,2
BRANCH-DIFF,2.14,1.91,2.14→1.91,2
BRANCH-DIFF,2.19,1.92,2.19→1.92,2
BRANCH-DIFF,1.88,1.92,1.88→1.92,2
BRANCH-DIFF,2.06,1.79,2.06→1.79,2
BRANCH-DIFF,1.94,1.77,1.94→1.77,2
BRANCH-DIFF,1.93,1.92,1.93→1.92,2
BRANCH-DIFF,2.10,2.14,2.10→2.14,2
BRANCH-DIFF,2.56,2.38,2.56→2.38,2
BRANCH-DIFF,2.10,1.89,2.10→1.89,2
BRANCH-DIFF,2.42,2.00,2.42→2.00,2
BRANCH-DIFF,2.00,1.76,2.00→1.76,2
BRANCH-DIFF,2.10,1.82,2.10→1.82,2
BRANCH-DIFF,2.00,1.74,2.00→1.74,2
BRANCH-DIFF,1.76,1.71,1.76→1.71,2
BRANCH-DIFF,2.05,2.00,2.05→2.00,2
BRANCH-DIFF,2.21,1.82,2.21→1.82,2
BRANCH-DIFF,2.24,2.07,2.24→2.07,2
BRANCH-DIFF,2.08,1.89,2.08→1.89,2
BRANCH-DIFF,2.15,1.85,2.15→1.85,2
BRANCH-DIFF,1.93,1.85,1.93→1.85,2
BRANCH-DIFF,2.17,1.73,2.17→1.73,2
BRANCH-DIFF,2.23,2.20,2.23→2.20,2
BRANCH-DIFF,2.06,1.87,2.06→1.87,2
BRANCH-DIFF,2.30,2.10,2.30→2.10,2
BRANCH-DIFF,1.92,2.00,1.92→2.00,2
BRANCH-DIFF,2.29,1.93,2.29→1.93,2
BRANCH-DIFF,2.20,2.14,2.20→2.14,2
BRANCH-DIFF,1.70,1.65,1.70→1.65,2
BRANCH-DIFF,1.88,1.75,1.88→1.75,2
BRANCH-DIFF,2.56,2.22,2.56→2.22,2
BRANCH-DIFF,2.25,2.30,2.25→2.30,2
BRANCH-DIFF,2.20,1.83,2.20→1.83,2
BRANCH-DIFF,1.88,1.83,1.88→1.83,2
BRANCH-DIFF,2.33,1.92,2.33→1.92,2
BRANCH-DIFF,2.07,1.73,2.07→1.73,2
BRANCH-DIFF,2.07,1.83,2.07→1.83,2
BRANCH-DIFF,2.15,1.82,2.15→1.82,2
BRANCH-DIFF,2.07,1.76,2.07→1.76,2
BRANCH-DIFF,2.06,1.71,2.06→1.71,2
BRANCH-DIFF,2.12,2.11,2.12→2.11,2
BRANCH-DIFF,2.19,2.00,2.19→2.00,2
BRANCH-DIFF,2.00,1.71,2.00→1.71,2
BRANCH-DIFF,2.07,2.09,2.07→2.09,2
BRANCH-DIFF,1.95,1.80,1.95→1.80,2
BRANCH-DIFF,2.00,1.72,2.00→1.72,2
BRANCH-DIFF,1.93,1.67,1.93→1.67,2
BRANCH-DIFF,2.06,1.80,2.06→1.80,2
