pair_unit,frequency
DEP-DIST-DIFF:2.08→1.43,1
BRANCH-DIFF:2.20→2.00,6
DEP-REL-CHG:mark→det,10
DEP-REL-CHG:cop→compound,5
DEP-REL-CHG:det→nmod,55
DEP-REL-CHG:ccomp→punct,38
DEP-REL-CHG:case→appos,46
HEAD-CHG:3→5,2
LENGTH-CHG:14→10,40
CONST-COUNT-DIFF:27→20,6
DEP-DIST-DIFF:3.46→2.11,1
BRANCH-DIFF:2.00→1.90,10
C-ADD:ABSENT→ADJ-ADD,69
FORM-CHG:hit→hits,1
DEP-REL-CHG:nmod:poss→amod,28
DEP-REL-CHG:obj→case,130
DEP-REL-CHG:amod→obl,43
DEP-REL-CHG:obl→nummod,17
LENGTH-CHG:12→10,24
TREE-DEPTH-DIFF:6→6,14
CONST-COUNT-DIFF:21→20,5
DEP-DIST-DIFF:3.27→2.33,1
BRANCH-DIFF:2.22→1.90,1
DEP-REL-CHG:root→compound,112
LENGTH-CHG:10→6,2
TED-ZHANG-SHASHA:12→12,46
TED-KLEIN:11→11,17
TREE-DEPTH-DIFF:7→5,4
CONST-COUNT-DIFF:17→11,1
DEP-DIST-DIFF:2.67→1.80,2
BRANCH-DIFF:2.29→2.00,6
POS-CHG:NOUN→VERB,16
DEP-REL-CHG:flat→nsubj,24
DEP-REL-CHG:aux→advcl,8
DEP-REL-CHG:punct→advmod,15
DEP-REL-CHG:mark→nsubj,29
DEP-REL-CHG:advcl→vocative,1
DEP-REL-CHG:punct→flat,24
HEAD-CHG:18→3,1
LENGTH-CHG:23→13,3
TED-RTED:41→41,7
PUNCT-DEL:question mark→,3
CONST-COUNT-DIFF:41→28,1
DEP-DIST-DIFF:4.09→1.92,1
BRANCH-DIFF:2.22→1.80,1
DEP-REL-CHG:punct→amod,65
DEP-REL-CHG:amod→compound,85
LENGTH-CHG:14→11,59
TED-KLEIN:24→24,12
TED-RTED:9→9,44
CONST-COUNT-DIFF:23→19,7
DEP-DIST-DIFF:2.23→1.40,1
BRANCH-DIFF:2.44→2.25,3
DEP-REL-CHG:case→mark,28
DEP-REL-CHG:punct→nummod,13
DEP-REL-CHG:acl→obj,8
DEP-REL-CHG:xcomp→compound,23
DEP-REL-CHG:nummod→nsubj,11
DEP-REL-CHG:obj→root,10
DEP-REL-CHG:nummod→nmod,12
LENGTH-CHG:17→13,34
TED-ZHANG-SHASHA:22→22,25
TED-KLEIN:25→25,13
TED-RTED:21→21,34
PUNCT-DEL:apostrophe→,44
TREE-DEPTH-DIFF:9→9,40
CONST-COUNT-DIFF:33→27,8
DEP-DIST-DIFF:2.62→2.25,1
BRANCH-DIFF:2.00→1.86,4
DEP-REL-CHG:det→aux,14
DEP-REL-CHG:aux→acl:relcl,3
DEP-REL-CHG:mark→xcomp,25
DEP-REL-CHG:nsubj→nummod,20
DEP-REL-CHG:obj→parataxis,20
LENGTH-CHG:18→12,26
TED-RTED:33→33,22
TREE-DEPTH-DIFF:17→13,1
CONST-COUNT-DIFF:38→27,5
DEP-DIST-DIFF:2.41→2.00,1
BRANCH-DIFF:1.85→1.73,2
DEP-REL-CHG:cc→root,4
DEP-REL-CHG:conj→compound,11
DEP-REL-CHG:root→amod,67
DEP-REL-CHG:obj→nmod,33
LENGTH-CHG:14→9,17
TED-KLEIN:21→21,28
TED-RTED:14→14,41
TREE-DEPTH-DIFF:8→7,74
CONST-COUNT-DIFF:24→17,8
DEP-DIST-DIFF:2.69→1.88,1
BRANCH-DIFF:2.30→2.00,9
DEP-REL-CHG:flat→nmod:poss,5
DEP-REL-CHG:compound→case,109
DEP-REL-CHG:flat→det,8
DEP-REL-CHG:amod→punct,49
LENGTH-CHG:21→15,10
CONST-REM:VP-REM→ABSENT,52
CLAUSE-TYPE-CHG:verbal→verbless,55
TED-RTED:32→32,22
CONST-COUNT-DIFF:33→24,10
DEP-DIST-DIFF:4.60→2.43,1
BRANCH-DIFF:2.67→2.56,1
DEP-REL-CHG:compound→flat,26
DEP-REL-CHG:obl:unmarked→amod,3
DEP-REL-CHG:amod→flat,16
DEP-REL-CHG:appos→root,4
DEP-REL-CHG:flat→advmod,10
DEP-REL-CHG:root→obl,48
TED-ZHANG-SHASHA:20→20,36
TED-KLEIN:29→29,6
TED-RTED:24→24,32
PUNCT-DEL:hyphen→,42
CONST-COUNT-DIFF:31→22,9
DEP-DIST-DIFF:2.38→1.67,2
BRANCH-DIFF:2.14→1.75,1
DEP-REL-CHG:nsubj→nmod:poss,31
DEP-REL-CHG:flat→case,38
DEP-REL-CHG:mark→nmod:poss,8
DEP-REL-CHG:case→root,31
DEP-REL-CHG:cop→appos,10
DEP-REL-CHG:nmod:poss→flat,10
TED-ZHANG-SHASHA:19→19,32
CONST-COUNT-DIFF:24→19,8
DEP-DIST-DIFF:3.50→1.89,2
BRANCH-DIFF:2.09→2.00,4
DEP-REL-CHG:nsubj:pass→nsubj,42
DEP-REL-CHG:punct→cc,4
DEP-REL-CHG:cc→conj,11
DEP-REL-CHG:conj→flat,14
DEP-REL-CHG:aux:pass→flat,3
LENGTH-CHG:16→11,40
TED-RTED:15→15,48
CONST-COUNT-DIFF:26→19,13
DEP-DIST-DIFF:2.73→2.40,2
BRANCH-DIFF:2.50→2.25,2
DEP-REL-CHG:nsubj→compound:prt,2
DEP-REL-CHG:aux→amod,41
DEP-REL-CHG:compound:prt→punct,3
DEP-REL-CHG:nummod→mark,7
DEP-REL-CHG:punct→advcl,9
DEP-REL-CHG:mark→case,55
DEP-REL-CHG:advcl→obl,9
DEP-REL-CHG:det→nummod,38
TREE-DEPTH-DIFF:10→9,48
CONST-COUNT-DIFF:35→28,11
DEP-DIST-DIFF:3.30→2.43,1
BRANCH-DIFF:2.43→2.08,2
DEP-REL-CHG:det→nmod:poss,28
DEP-REL-CHG:nmod:poss→case,52
DEP-REL-CHG:case→nsubj,19
DEP-REL-CHG:det→xcomp,9
DEP-REL-CHG:iobj→obj,4
DEP-REL-CHG:xcomp→amod,6
LENGTH-CHG:17→11,24
TED-KLEIN:20→20,26
DEP-DIST-DIFF:2.44→1.70,1
BRANCH-DIFF:2.14→1.77,2
FW-ADD:ABSENT→ADP-ADD,107
DEP-REL-CHG:nsubj→obl:unmarked,9
DEP-REL-CHG:root→nsubj,38
DEP-REL-CHG:punct→obj,65
DEP-REL-CHG:nummod→flat,4
DEP-REL-CHG:obl:unmarked→case,8
DEP-REL-CHG:advmod→nmod:poss,3
DEP-REL-CHG:punct→case,73
DEP-REL-CHG:ccomp→nmod,14
LENGTH-CHG:24→14,3
CONST-REM:QP-REM→ABSENT,50
TED-RTED:37→37,15
TREE-DEPTH-DIFF:13→8,11
CONST-COUNT-DIFF:42→26,1
DEP-DIST-DIFF:3.74→2.08,1
BRANCH-DIFF:2.28→2.08,1
DEP-REL-CHG:nsubj:pass→acl,16
DEP-REL-CHG:aux:pass→compound,14
DEP-REL-CHG:compound→nummod,31
DEP-REL-CHG:obl→obl:unmarked,3
DEP-REL-CHG:acl→advmod,2
LENGTH-CHG:19→12,14
TED-RTED:20→20,35
TREE-DEPTH-DIFF:11→7,22
CONST-COUNT-DIFF:33→23,7
DEP-DIST-DIFF:2.33→2.00,2
DEP-REL-CHG:nummod→obl,32
DEP-REL-CHG:case→nmod,118
DEP-REL-CHG:nmod→punct,20
LENGTH-CHG:14→12,24
TREE-DEPTH-DIFF:8→8,63
DEP-DIST-DIFF:3.08→2.55,1
BRANCH-DIFF:2.18→2.00,17
DEP-REL-CHG:nsubj:pass→root,42
DEP-REL-CHG:aux:pass→case,41
TREE-DEPTH-DIFF:10→8,45
DEP-DIST-DIFF:3.38→2.88,1
BRANCH-DIFF:2.08→1.80,1
POS-CHG:ADJ→NOUN,7
DEP-REL-CHG:aux→compound,65
DEP-REL-CHG:csubj→nsubj,1
DEP-REL-CHG:nmod:poss→parataxis,2
DEP-REL-CHG:case→obj,35
LENGTH-CHG:23→11,1
TED-RTED:44→44,4
CONST-COUNT-DIFF:44→23,1
DEP-DIST-DIFF:3.55→2.40,1
BRANCH-DIFF:2.05→1.83,1
DEP-REL-CHG:mark→obl,18
DEP-REL-CHG:advcl→punct,18
DEP-REL-CHG:det→parataxis,13
LENGTH-CHG:11→9,14
TED-KLEIN:32→32,2
TED-RTED:25→25,37
CONST-COUNT-DIFF:22→21,7
DEP-DIST-DIFF:2.60→2.12,2
BRANCH-DIFF:1.91→1.67,1
DEP-REL-CHG:nsubj:pass→case,29
DEP-REL-CHG:nummod→acl,3
DEP-REL-CHG:nmod→advmod,6
DEP-REL-CHG:advmod→case,32
DEP-REL-CHG:advmod→obl,10
CONST-COUNT-DIFF:34→25,10
DEP-DIST-DIFF:3.06→2.00,3
BRANCH-DIFF:2.20→1.85,1
DEP-REL-CHG:nummod→root,13
DEP-REL-CHG:compound→xcomp,12
LENGTH-CHG:15→7,1
TED-ZHANG-SHASHA:24→24,13
TREE-DEPTH-DIFF:7→7,45
CONST-COUNT-DIFF:28→16,1
DEP-DIST-DIFF:2.71→2.17,3
BRANCH-DIFF:2.08→1.67,1
DEP-REL-CHG:nmod→mark,7
DEP-REL-CHG:conj→case,18
CONST-COUNT-DIFF:29→28,2
DEP-DIST-DIFF:3.13→2.00,1
BRANCH-DIFF:2.15→1.80,1
DEP-REL-CHG:nmod→acl:relcl,2
DEP-REL-CHG:acl:relcl→root,2
DEP-REL-CHG:aux→obl,28
DEP-DIST-DIFF:2.23→2.00,1
BRANCH-DIFF:1.76→1.53,1
DEP-REL-CHG:nsubj→obl,18
DEP-REL-CHG:advmod→advcl,4
DEP-REL-CHG:compound→obl,60
DEP-REL-CHG:acl→appos,4
TED-ZHANG-SHASHA:30→30,13
TREE-DEPTH-DIFF:13→7,6
CONST-COUNT-DIFF:32→23,5
DEP-DIST-DIFF:2.60→2.08,1
BRANCH-DIFF:1.94→2.20,1
