feature_id,rank,transformation,count,pattern_type
1.89,0,1.89→1.87,1,changes
1.89,0,1.89→1.69,1,changes
1.90,0,1.90→1.80,4,changes
1.90,0,1.90→1.75,2,changes
1.90,0,1.90→1.62,1,changes
1.90,0,1.90→1.67,1,changes
1.90,0,1.90→1.78,1,changes
1.90,0,1.90→1.93,1,changes
1.90,0,1.90→1.71,1,changes
1.90,0,1.90→1.79,1,changes
1.90,0,1.90→1.81,1,changes
1.91,0,1.91→1.29,2,changes
1.91,0,1.91→1.70,2,changes
1.91,0,1.91→1.89,2,changes
1.91,0,1.91→1.82,2,changes
1.91,0,1.91→1.67,1,changes
1.91,0,1.91→2.00,1,changes
1.91,0,1.91→1.74,1,changes
1.91,0,1.91→1.94,1,changes
1.91,0,1.91→1.60,1,changes
1.91,0,1.91→1.73,1,changes
1.91,0,1.91→1.78,1,changes
1.92,0,1.92→1.75,4,changes
1.92,0,1.92→1.90,3,changes
1.92,0,1.92→1.80,2,changes
1.92,0,1.92→2.00,2,changes
1.92,0,1.92→1.64,1,changes
1.92,0,1.92→1.83,1,changes
1.92,0,1.92→1.85,1,changes
1.92,0,1.92→2.30,1,changes
1.92,0,1.92→1.77,1,changes
1.92,0,1.92→1.70,1,changes
1.92,0,1.92→1.82,1,changes
1.92,0,1.92→1.89,1,changes
1.92,0,1.92→1.88,1,changes
1.92,0,1.92→1.78,1,changes
1.92,0,1.92→1.69,1,changes
1.92,0,1.92→1.73,1,changes
1.93,0,1.93→1.91,5,changes
1.93,0,1.93→1.69,4,changes
1.93,0,1.93→1.77,3,changes
1.93,0,1.93→1.73,3,changes
1.93,0,1.93→2.00,2,changes
1.93,0,1.93→1.64,2,changes
1.93,0,1.93→1.92,2,changes
1.93,0,1.93→1.85,2,changes
1.93,0,1.93→1.67,2,changes
1.93,0,1.93→1.71,2,changes
1.93,0,1.93→1.80,1,changes
1.94,0,1.94→2.00,6,changes
1.94,0,1.94→1.79,4,changes
1.94,0,1.94→1.80,4,changes
1.94,0,1.94→1.92,4,changes
1.94,0,1.94→1.73,4,changes
1.94,0,1.94→1.75,3,changes
1.94,0,1.94→1.93,3,changes
1.94,0,1.94→1.67,3,changes
1.94,0,1.94→1.85,3,changes
1.94,0,1.94→1.77,2,changes
1.94,0,1.94→2.20,1,changes
1.94,0,1.94→1.82,1,changes
1.94,0,1.94→1.83,1,changes
1.94,0,1.94→1.69,1,changes
1.94,0,1.94→1.90,1,changes
1.94,0,1.94→1.62,1,changes
1.94,0,1.94→1.86,1,changes
1.94,0,1.94→2.10,1,changes
1.94,0,1.94→1.81,1,changes
1.95,0,1.95→1.85,3,changes
1.95,0,1.95→1.88,3,changes
1.95,0,1.95→1.80,2,changes
1.95,0,1.95→1.87,1,changes
1.95,0,1.95→1.77,1,changes
1.95,0,1.95→1.94,1,changes
1.95,0,1.95→1.75,1,changes
1.95,0,1.95→1.72,1,changes
1.95,0,1.95→1.69,1,changes
1.95,0,1.95→2.09,1,changes
1.95,0,1.95→2.07,1,changes
1.95,0,1.95→1.76,1,changes
1.95,0,1.95→1.81,1,changes
1.96,0,1.96→1.89,1,changes
1.96,0,1.96→1.80,1,changes
1.96,0,1.96→1.88,1,changes
10,0,10→6,8,changes
10,0,10→8,3,changes
10,0,10→11,3,changes
10,0,10→7,2,changes
10,0,10→9,2,changes
10,0,10→12,2,changes
10,0,10→5,1,changes
11,0,11→6,9,changes
11,0,11→10,8,changes
11,0,11→9,4,changes
11,0,11→8,1,changes
11,0,11→7,1,changes
11,0,11→13,1,changes
11,0,11→18,1,changes
11,0,11→12,1,changes
12,0,12→9,37,changes
12,0,12→8,16,changes
12,0,12→7,8,changes
12,0,12→10,4,changes
12,0,12→11,4,changes
12,0,12→13,2,changes
13,0,13→9,15,changes
13,0,13→8,11,changes
13,0,13→7,6,changes
13,0,13→12,3,changes
13,0,13→10,2,changes
13,0,13→11,2,changes
13,0,13→14,1,changes
13,0,13→15,1,changes
14,0,14→11,17,changes
14,0,14→10,11,changes
14,0,14→9,9,changes
14,0,14→7,5,changes
14,0,14→13,3,changes
14,0,14→6,2,changes
14,0,14→12,1,changes
14,0,14→8,1,changes
14,0,14→5,1,changes
15,0,15→9,5,changes
15,0,15→13,3,changes
15,0,15→8,2,changes
15,0,15→7,1,changes
15,0,15→12,1,changes
15,0,15→11,1,changes
15,0,15→10,1,changes
15,0,15→14,1,changes
16,0,16→12,56,changes
16,0,16→15,2,changes
16,0,16→8,2,changes
16,0,16→13,1,changes
16,0,16→14,1,changes
16,0,16→11,1,changes
16,0,16→10,1,changes
16,0,16→9,1,changes
17,0,17→12,34,changes
17,0,17→15,3,changes
17,0,17→14,2,changes
17,0,17→10,1,changes
17,0,17→13,1,changes
17,0,17→11,1,changes
17,0,17→9,1,changes
17,0,17→16,1,changes
18,0,18→13,27,changes
18,0,18→11,12,changes
18,0,18→10,4,changes
18,0,18→14,4,changes
18,0,18→16,4,changes
18,0,18→15,2,changes
18,0,18→12,1,changes
18,0,18→9,1,changes
18,0,18→24,1,changes
18,0,18→3,1,changes
19,0,19→13,30,changes
19,0,19→12,14,changes
19,0,19→11,9,changes
19,0,19→14,2,changes
19,0,19→15,2,changes
19,0,19→16,2,changes
19,0,19→9,1,changes
19,0,19→17,1,changes
2,0,2→4,2,changes
2,0,2→3,1,changes
2.00,0,2.00→1.85,10,changes
2.00,0,2.00→1.83,10,changes
2.00,0,2.00→1.90,10,changes
2.00,0,2.00→1.75,9,changes
2.00,0,2.00→1.87,8,changes
2.00,0,2.00→1.77,7,changes
2.00,0,2.00→1.92,6,changes
2.00,0,2.00→1.80,6,changes
2.00,0,2.00→1.82,6,changes
2.00,0,2.00→1.91,5,changes
2.00,0,2.00→1.86,4,changes
2.00,0,2.00→1.93,4,changes
2.00,0,2.00→1.67,3,changes
2.00,0,2.00→1.79,3,changes
2.00,0,2.00→2.09,3,changes
2.00,0,2.00→1.89,3,changes
2.00,0,2.00→1.73,3,changes
2.00,0,2.00→2.10,3,changes
2.00,0,2.00→2.08,2,changes
2.00,0,2.00→2.07,2,changes
2.00,0,2.00→1.76,2,changes
2.00,0,2.00→1.74,2,changes
2.00,0,2.00→1.71,2,changes
2.00,0,2.00→1.72,2,changes
2.00,0,2.00→1.70,2,changes
2.00,0,2.00→1.78,2,changes
2.00,0,2.00→1.33,1,changes
2.00,0,2.00→2.36,1,changes
2.00,0,2.00→1.57,1,changes
2.00,0,2.00→2.22,1,changes
2.00,0,2.00→1.81,1,changes
2.00,0,2.00→2.20,1,changes
2.00,0,2.00→1.88,1,changes
2.00,0,2.00→1.64,1,changes
2.00,0,2.00→2.11,1,changes
2.00,0,2.00→2.17,1,changes
2.00,0,2.00→1.94,1,changes
2.00,0,2.00→2.50,1,changes
2.00,0,2.00→2.18,1,changes
2.00,0,2.00→2.23,1,changes
2.05,0,2.05→1.88,2,changes
2.05,0,2.05→2.00,2,changes
2.05,0,2.05→1.83,1,changes
2.05,0,2.05→1.76,1,changes
2.05,0,2.05→1.94,1,changes
2.05,0,2.05→2.08,1,changes
2.05,0,2.05→1.82,1,changes
2.06,0,2.06→1.92,5,changes
2.06,0,2.06→1.93,5,changes
2.06,0,2.06→1.79,2,changes
2.06,0,2.06→1.87,2,changes
2.06,0,2.06→1.71,2,changes
2.06,0,2.06→1.80,2,changes
