pair_unit,frequency
DEP-REL-CHG:aux→acl,39
DEP-REL-CHG:obl→appos,6
CLAUSE-TYPE-CHG:Fin→Ger,49
TED-ZHANG-SHASHA:14→14,49
TED-KLEIN:18→18,27
TED-RTED:12→12,76
TREE-DEPTH-DIFF:9→7,18
CONST-COUNT-DIFF:20→20,7
DEP-DIST-DIFF:2.11→2.12,2
BRANCH-DIFF:1.90→1.73,3
DEP-REL-CHG:aux:pass→case,51
DEP-REL-CHG:mark→obl,8
TED-RTED:15→15,47
CONST-COUNT-DIFF:21→13,6
DEP-DIST-DIFF:2.00→1.67,4
BRANCH-DIFF:2.00→2.00,47
DEP-REL-CHG:nsubj→punct,27
DEP-REL-CHG:det→case,64
DEP-REL-CHG:obj→nmod,21
LENGTH-CHG:16→9,5
TED-RTED:28→28,5
CONST-COUNT-DIFF:28→17,1
DEP-DIST-DIFF:2.80→1.50,1
BRANCH-DIFF:2.25→2.00,9
DEP-REL-CHG:compound→nsubj,64
DEP-REL-CHG:punct→case,22
DEP-REL-CHG:aux:pass→obl,14
LENGTH-CHG:13→7,7
CONST-ADD:ABSENT→ADVP-ADD,33
TED-RTED:21→21,10
PUNCT-DEL:apostrophe→,88
TREE-DEPTH-DIFF:8→6,51
DEP-DIST-DIFF:2.42→1.83,1
BRANCH-DIFF:2.50→1.86,1
FORM-CHG:'→’,17
DEP-REL-CHG:case→root,13
DEP-REL-CHG:nmod→case,27
DEP-REL-CHG:root→obl,51
HEAD-CHG:7→5,2
LENGTH-CHG:8→7,33
TED-ZHANG-SHASHA:10→10,59
TED-RTED:11→11,64
CONST-COUNT-DIFF:16→13,9
DEP-DIST-DIFF:1.57→1.33,2
BRANCH-DIFF:1.88→2.00,4
DEP-REL-CHG:aux:pass→nsubj,2
DEP-REL-CHG:mark→obj,21
DEP-REL-CHG:compound→case,31
DEP-REL-CHG:aux→obl,8
LENGTH-CHG:15→9,5
TED-ZHANG-SHASHA:27→27,8
TREE-DEPTH-DIFF:13→7,2
CONST-COUNT-DIFF:30→17,1
DEP-DIST-DIFF:2.79→2.25,1
BRANCH-DIFF:1.93→2.00,1
DEP-REL-CHG:amod→root,34
DEP-REL-CHG:nsubj→case,43
DEP-REL-CHG:aux→amod,16
DEP-REL-CHG:root→nmod,27
TED-KLEIN:17→17,44
TED-RTED:17→17,31
TREE-DEPTH-DIFF:7→5,21
CONST-COUNT-DIFF:15→14,11
DEP-DIST-DIFF:2.00→2.00,21
FORM-CHG:'→‘,54
TED-ZHANG-SHASHA:2→2,171
TED-KLEIN:2→2,170
TED-RTED:2→2,171
CONST-COUNT-DIFF:17→17,5
DEP-DIST-DIFF:2.44→2.44,1
BRANCH-DIFF:2.29→2.29,1
CONST-COUNT-DIFF:3→3,211
DEP-DIST-DIFF:0.00→0.00,225
BRANCH-DIFF:1.00→1.00,225
DEP-REL-CHG:obl→case,29
DEP-REL-CHG:punct→nummod,2
TED-KLEIN:20→20,21
TED-RTED:26→26,6
PUNCT-DEL:comma→,28
CONST-COUNT-DIFF:23→13,2
DEP-DIST-DIFF:2.17→1.50,3
BRANCH-DIFF:2.20→2.00,8
DEP-REL-CHG:nsubj→obj,12
DEP-REL-CHG:root→nummod,15
DEP-REL-CHG:ccomp→compound,4
DEP-REL-CHG:nummod→parataxis,1
LENGTH-CHG:14→9,13
CONST-COUNT-DIFF:26→17,3
DEP-DIST-DIFF:2.46→2.38,1
BRANCH-DIFF:2.08→2.00,1
C-DEL:ADV-DEL→ABSENT,7
C-ADD:ABSENT→ADJ-ADD,7
DEP-REL-CHG:nmod→amod,5
DEP-REL-CHG:aux→nmod,23
LENGTH-CHG:11→10,25
CONST-REM:ADVP-REM→ABSENT,6
TREE-DEPTH-DIFF:7→7,80
CONST-COUNT-DIFF:22→20,3
DEP-DIST-DIFF:2.20→1.78,1
BRANCH-DIFF:1.91→1.90,1
